year,month,state,latitude,longitude,firespots
2000,1,Maranhao,-3.5771594117647054,-46.40108823529412,17
2000,1,Mato Grosso,-13.4545,-56.938492307692314,13
2000,1,Para,-2.5552243333333333,-48.85874333333332,30
2000,1,Roraima,3.6530433333333328,-60.199761111111115,18
2000,2,Amazonas,-3.015598225806452,-62.39670161290322,62
2000,2,Maranhao,-3.00991,-45.857233333333326,3
2000,2,Mato Grosso,-12.554244,-55.226516,25
2000,2,Para,-3.431056206896552,-52.689534482758624,29
2000,2,Rondonia,-12.21855,-61.69766666666666,6
2000,2,Roraima,2.7865326315789476,-60.68671228070176,57
2000,3,Acre,-9.445561818181817,-71.24003636363636,11
2000,3,Amazonas,-3.1149220289855073,-62.91103188405797,69
2000,3,Mato Grosso,-12.22753,-54.32358,10
2000,3,Para,-3.69169497237569,-51.40436408839779,181
2000,3,Rondonia,-11.245877777777777,-63.823211111111114,9
2000,3,Roraima,2.5943224,-60.654584,125
2000,4,Acre,-8.46306,-70.325,1
2000,4,Amazonas,-2.530095,-62.54666666666666,18
2000,4,Maranhao,-2.99653,-45.71835,2
2000,4,Mato Grosso,-12.536299032258064,-55.38387741935484,31
2000,4,Para,-4.60373175,-51.906175,40
2000,5,Acre,-8.17167,-70.95667,1
2000,5,Amazonas,-6.165653921568628,-63.00042450980391,51
2000,5,Mato Grosso,-12.053626892857144,-55.522243952380954,840
2000,5,Para,-4.784305833333333,-53.155695,12
2000,5,Rondonia,-12.045888666666666,-60.888666666666666,15
2000,5,Roraima,3.1721442857142854,-60.987141428571434,7
2000,5,Tocantins,-6.799165,-48.4383325,4
2000,6,Acre,-10.115,-67.6731,1
2000,6,Amazonas,-2.804076666666667,-66.74076666666666,6
2000,6,Maranhao,-4.729922258064516,-47.11844838709677,31
2000,6,Mato Grosso,-11.850191036405379,-55.49258727451624,3049
2000,6,Para,-7.712625084745762,-50.59182542372881,59
2000,6,Rondonia,-11.334088518518518,-61.50767037037037,54
2000,6,Tocantins,-8.437855454545454,-48.69616363636364,11
2000,7,Acre,-9.66667,-68.215,1
2000,7,Amazonas,-7.554767435897436,-62.827520512820506,39
2000,7,Maranhao,-4.551391041666666,-47.01413125,48
2000,7,Mato Grosso,-11.607408401880141,-55.80090987074031,851
2000,7,Para,-7.232115985915493,-52.41538262910798,426
2000,7,Rondonia,-10.701318083333332,-62.641965,120
2000,7,Tocantins,-7.2365692,-48.403972,25
2000,8,Acre,-10.032209485294116,-67.85371029411765,136
2000,8,Amapa,0.65213,-51.1889,3
2000,8,Amazonas,-6.525017888888889,-62.29147388888888,180
2000,8,Maranhao,-4.584986642857143,-46.73302071428571,140
2000,8,Mato Grosso,-10.922061330737517,-55.62020416857536,4366
2000,8,Para,-7.3407662964989076,-51.162728920495994,5484
2000,8,Rondonia,-11.311088163636365,-62.34729245454546,2200
2000,8,Roraima,2.8423177777777777,-61.07844444444444,9
2000,8,Tocantins,-7.640192857142858,-48.67955164835165,273
2000,9,Acre,-9.722744827586208,-68.17836858237547,261
2000,9,Amapa,0.3849715789473684,-51.263157894736835,19
2000,9,Amazonas,-8.033043989637306,-66.62310880829017,193
2000,9,Maranhao,-4.146464431372549,-46.48157725490196,255
2000,9,Mato Grosso,-11.40849234811587,-55.47231550884389,3901
2000,9,Para,-6.322753861424679,-50.30744484235111,2569
2000,9,Rondonia,-11.058603475409837,-62.51143470081967,2440
2000,9,Roraima,2.9613691666666666,-60.637875,12
2000,9,Tocantins,-7.552127063106797,-48.73609927184466,412
2000,10,Acre,-10.002793333333331,-68.89025,18
2000,10,Amapa,0.7931626190476191,-51.312802380952384,42
2000,10,Amazonas,-5.591062068965517,-62.457964137931036,145
2000,10,Maranhao,-4.461649608208956,-46.57341100746269,1072
2000,10,Mato Grosso,-12.319720654181632,-56.190513955874806,3898
2000,10,Para,-4.017599677344475,-50.15866130454968,4308
2000,10,Rondonia,-10.887921357254289,-62.70694430577224,641
2000,10,Roraima,3.2483464,-60.69302,25
2000,10,Tocantins,-6.478072337662337,-48.53807402597402,77
2000,11,Amapa,1.2218631210191084,-51.25116942675159,157
2000,11,Amazonas,-4.452965185185184,-59.89807037037037,27
2000,11,Maranhao,-3.5006475075437535,-45.982029390464696,1657
2000,11,Mato Grosso,-13.482188283261802,-57.00285879828326,233
2000,11,Para,-3.250652629233512,-49.97659973262032,3366
2000,11,Rondonia,-12.067261538461537,-63.00481538461537,13
2000,11,Roraima,1.913040625,-60.016390625,32
2000,11,Tocantins,-6.231993333333333,-48.591158333333325,12
2000,12,Amapa,0.3895283333333333,-51.0966,30
2000,12,Amazonas,-2.582034833333333,-58.267803333333326,60
2000,12,Maranhao,-2.8125110823529407,-45.79205301960784,1275
2000,12,Mato Grosso,-14.431908,-57.462828,25
2000,12,Para,-2.5805704596346493,-49.70534672952269,1697
2000,12,Rondonia,-11.053514285714284,-62.62022857142857,7
2000,12,Roraima,1.4075224675324676,-60.07403636363637,77
2000,12,Tocantins,-6.525835,-48.33155,4
2001,1,Amazonas,-2.8072233333333334,-59.736666666666665,3
2001,1,Maranhao,-3.661666,-45.70249,10
2001,1,Mato Grosso,-13.88304117647059,-56.746952941176474,17
2001,1,Para,-3.574264705882353,-49.60092941176471,34
2001,1,Roraima,2.96513198019802,-60.774737623762384,101
2001,2,Amazonas,-2.993125,-63.1349875,8
2001,2,Mato Grosso,-12.438274074074073,-55.70925555555556,27
2001,2,Para,-5.603646875,-49.98280625,16
2001,2,Rondonia,-10.867515,-64.75665,2
2001,2,Roraima,2.1073272600619197,-60.78434427244582,646
2001,3,Amazonas,-3.335831666666667,-62.3875,6
2001,3,Mato Grosso,-13.961590476190477,-57.18468095238095,21
2001,3,Roraima,2.6032398735320688,-61.012485275519424,1107
2001,4,Amazonas,-4.825,-65.1783,1
2001,4,Maranhao,-3.34333,-45.5133,1
