year,month,number,period
2005,10,49876,2005-01-10
2006,10,21854,2006-01-10
2007,10,32312,2007-01-10
2008,10,39264,2008-01-10
2009,10,24202,2009-01-10
2010,10,31489,2010-01-10
2011,10,18691,2011-01-10
2012,10,34221,2012-01-10
2013,10,21325,2013-01-10
2014,10,39323,2014-01-10
2015,10,50004,2015-01-10
2016,10,30210,2016-01-10
2017,10,42720,2017-01-10
1998,11,6804,1998-01-11
1999,11,8861,1999-01-11
2000,11,8399,2000-01-11
2001,11,15639,2001-01-11
2002,11,28179,2002-01-11
2003,11,23572,2003-01-11
2004,11,30763,2004-01-11
2005,11,21752,2005-01-11
2006,11,9754,2006-01-11
2007,11,13095,2007-01-11
2008,11,12778,2008-01-11
2009,11,23914,2009-01-11
2010,11,16587,2010-01-11
2011,11,12222,2011-01-11
2012,11,13587,2012-01-11
2013,11,12152,2013-01-11
2014,11,17990,2014-01-11
2015,11,27531,2015-01-11
2016,11,5034,2016-01-11
2017,11,15759,2017-01-11
1998,12,4449,1998-01-12
1999,12,4376,1999-01-12
2000,12,4465,2000-01-12
2001,12,6201,2001-01-12
2002,12,11944,2002-01-12
2003,12,15342,2003-01-12
2004,12,17524,2004-01-12
2005,12,6354,2005-01-12
2006,12,5027,2006-01-12
2007,12,4075,2007-01-12
2008,12,4995,2008-01-12
2009,12,9494,2009-01-12
2010,12,6856,2010-01-12
2011,12,9830,2011-01-12
2012,12,6824,2012-01-12
2013,12,12006,2013-01-12
2014,12,10939,2014-01-12
2015,12,18600,2015-01-12
2016,12,8693,2016-01-12
