state,date,precipitation,year,month
Bahia,2009-01-31,30.3,2009,1
Bahia,2009-02-28,122.1,2009,2
Bahia,2009-03-31,25.6,2009,3
Bahia,2009-04-30,506.6,2009,4
Bahia,2009-05-31,549.3,2009,5
Bahia,2009-06-30,155.1,2009,6
Bahia,2009-07-31,158.9,2009,7
Bahia,2009-08-31,93.8,2009,8
Bahia,2009-09-30,56.1,2009,9
Bahia,2009-10-31,162.4,2009,10
Bahia,2009-11-30,48.1,2009,11
Bahia,2009-12-31,5.8,2009,12
Bahia,2010-01-31,78.5,2010,1
Bahia,2010-02-28,19.2,2010,2
Bahia,2010-03-31,122.8,2010,3
Bahia,2010-04-30,448.8,2010,4
Bahia,2010-05-31,243.8,2010,5
Bahia,2010-06-30,96.6,2010,6
Bahia,2010-07-31,492.5,2010,7
Bahia,2010-08-31,176.3,2010,8
Bahia,2010-09-30,55.8,2010,9
Bahia,2010-10-31,56.7,2010,10
Bahia,2010-11-30,27.2,2010,11
Bahia,2010-12-31,102.5,2010,12
Bahia,2011-01-31,170.3,2011,1
Bahia,2011-02-28,46.2,2011,2
Bahia,2011-03-31,200.7,2011,3
Bahia,2011-04-30,331.0,2011,4
Bahia,2011-05-31,304.2,2011,5
Bahia,2011-06-30,277.7,2011,6
Bahia,2011-07-31,57.6,2011,7
Bahia,2011-08-31,91.3,2011,8
Bahia,2011-09-30,62.0,2011,9
Bahia,2011-10-31,208.5,2011,10
Bahia,2011-11-30,319.2,2011,11
Bahia,2011-12-31,100.7,2011,12
Bahia,2012-01-31,35.7,2012,1
Bahia,2012-02-29,70.9,2012,2
Bahia,2012-03-31,74.7,2012,3
Bahia,2012-04-30,48.8,2012,4
Bahia,2012-05-31,411.5,2012,5
Bahia,2012-06-30,170.2,2012,6
Bahia,2012-07-31,162.5,2012,7
Bahia,2012-08-31,137.4,2012,8
Bahia,2012-09-30,30.7,2012,9
Bahia,2012-10-31,73.6,2012,10
Bahia,2012-11-30,35.5,2012,11
Bahia,2012-12-31,10.7,2012,12
Bahia,2013-01-31,36.2,2013,1
Bahia,2013-02-28,28.6,2013,2
Bahia,2013-03-31,38.4,2013,3
Bahia,2013-04-30,230.8,2013,4
Bahia,2013-05-31,231.1,2013,5
Bahia,2013-06-30,308.4,2013,6
Bahia,2013-07-31,198.0,2013,7
Bahia,2013-08-31,211.2,2013,8
Bahia,2013-09-30,109.4,2013,9
Bahia,2013-10-31,208.6,2013,10
Bahia,2013-11-30,209.2,2013,11
Bahia,2013-12-31,158.2,2013,12
Bahia,2014-01-31,48.3,2014,1
Bahia,2014-02-28,142.7,2014,2
Bahia,2014-03-31,128.8,2014,3
Bahia,2014-04-30,107.1,2014,4
Bahia,2014-05-31,247.2,2014,5
Bahia,2014-06-30,240.6,2014,6
Bahia,2014-07-31,198.9,2014,7
Bahia,2014-08-31,60.2,2014,8
Bahia,2014-09-30,92.7,2014,9
Bahia,2014-10-31,27.7,2014,10
Bahia,2014-11-30,58.0,2014,11
Bahia,2014-12-31,194.2,2014,12
Bahia,2015-01-31,51.3,2015,1
Bahia,2015-02-28,89.6,2015,2
Bahia,2015-03-31,31.3,2015,3
Bahia,2015-04-30,394.2,2015,4
Bahia,2015-05-31,639.0,2015,5
Bahia,2015-06-30,352.4,2015,6
Bahia,2015-07-31,184.0,2015,7
Bahia,2015-08-31,87.5,2015,8
Bahia,2015-09-30,27.6,2015,9
Bahia,2015-10-31,16.6,2015,10
Bahia,2015-11-30,3.2,2015,11
Bahia,2015-12-31,15.7,2015,12
Bahia,2016-01-31,162.5,2016,1
Bahia,2016-02-29,40.5,2016,2
Bahia,2016-03-31,65.5,2016,3
Bahia,2016-04-30,68.7,2016,4
Bahia,2016-05-31,242.2,2016,5
Bahia,2016-06-30,126.2,2016,6
Bahia,2016-07-31,91.5,2016,7
Bahia,2016-08-31,180.9,2016,8
Bahia,2016-09-30,122.3,2016,9
Bahia,2016-10-31,74.7,2016,10
Bahia,2016-11-30,54.5,2016,11
Bahia,2016-12-31,53.3,2016,12
Bahia,2017-01-31,23.5,2017,1
Bahia,2017-02-28,95.8,2017,2
Bahia,2017-03-31,181.1,2017,3
Bahia,2017-04-30,152.0,2017,4
Bahia,2017-05-31,324.3,2017,5
Bahia,2017-06-30,105.7,2017,6
Bahia,2017-07-31,228.4,2017,7
Bahia,2017-08-31,67.0,2017,8
Bahia,2017-09-30,126.1,2017,9
Bahia,2017-10-31,74.0,2017,10
Bahia,2017-11-30,77.3,2017,11
Roraima,1998-01-31,0.1,1998,1
Roraima,1998-02-28,10.0,1998,2
Roraima,1998-03-31,0.0,1998,3
Roraima,1998-04-30,215.1,1998,4
Roraima,1998-05-31,377.4,1998,5
Roraima,1998-06-30,569.8,1998,6
Roraima,1998-07-31,377.6,1998,7
Roraima,1998-08-31,233.1,1998,8
Roraima,1998-09-30,94.7,1998,9
Roraima,1998-10-31,22.6,1998,10
Roraima,1998-11-30,55.4,1998,11
Roraima,1998-12-31,231.7,1998,12
Roraima,1999-01-31,20.3,1999,1
Roraima,1999-02-28,165.0,1999,2
Roraima,1999-03-31,23.8,1999,3
Roraima,1999-04-30,230.9,1999,4
Roraima,1999-05-31,245.4,1999,5
Roraima,1999-06-30,300.3,1999,6
Roraima,1999-07-31,243.8,1999,7
Roraima,1999-08-31,326.6,1999,8
Roraima,1999-09-30,225.3,1999,9
Roraima,1999-10-31,130.9,1999,10
Roraima,1999-11-30,46.8,1999,11
Roraima,1999-12-31,92.0,1999,12
Roraima,2000-01-31,45.4,2000,1
Roraima,2000-02-29,76.4,2000,2
Roraima,2000-03-31,71.0,2000,3
Roraima,2000-04-30,302.4,2000,4
Roraima,2000-05-31,415.3,2000,5
Roraima,2000-06-30,311.8,2000,6
Roraima,2000-07-31,220.1,2000,7
Roraima,2000-08-31,187.5,2000,8
Roraima,2000-09-30,76.8,2000,9
Roraima,2000-10-31,70.1,2000,10
Roraima,2000-11-30,107.5,2000,11
Roraima,2000-12-31,49.2,2000,12
Roraima,2001-01-31,0.0,2001,1
Roraima,2001-02-28,0.7,2001,2
Roraima,2001-03-31,3.7,2001,3
Roraima,2001-04-30,54.6,2001,4
Roraima,2001-05-31,248.6,2001,5
Roraima,2001-06-30,214.7,2001,6
Roraima,2001-07-31,167.0,2001,7
Roraima,2001-08-31,329.1,2001,8
Roraima,2001-09-30,116.1,2001,9
Roraima,2001-10-31,63.7,2001,10
Roraima,2001-11-30,43.5,2001,11
Roraima,2001-12-31,83.6,2001,12
Roraima,2002-01-31,3.5,2002,1
Roraima,2002-02-28,2.5,2002,2
Roraima,2002-03-31,27.5,2002,3
Roraima,2002-04-30,186.4,2002,4
Roraima,2002-05-31,311.5,2002,5
Roraima,2002-06-30,522.2,2002,6
Roraima,2002-07-31,261.5,2002,7
Roraima,2002-08-31,183.1,2002,8
Roraima,2002-09-30,45.7,2002,9
Roraima,2002-10-31,0.4,2002,10
Roraima,2002-11-30,29.7,2002,11
Roraima,2002-12-31,41.5,2002,12
Roraima,2003-01-31,0.8,2003,1
Roraima,2003-02-28,6.0,2003,2
Roraima,2003-03-31,9.2,2003,3
Roraima,2003-04-30,128.7,2003,4
Roraima,2003-05-31,357.3,2003,5
Roraima,2003-06-30,240.4,2003,6
Roraima,2003-07-31,370.4,2003,7
Roraima,2003-08-31,211.7,2003,8
Roraima,2003-09-30,170.1,2003,9
Roraima,2003-10-31,60.5,2003,10
Roraima,2003-11-30,29.4,2003,11
Roraima,2003-12-31,21.5,2003,12
Roraima,2004-01-31,8.3,2004,1
Roraima,2004-02-29,9.9,2004,2
Roraima,2004-03-31,48.3,2004,3
Roraima,2004-04-30,182.6,2004,4
Roraima,2004-05-31,565.4,2004,5
Roraima,2004-06-30,264.7,2004,6
Roraima,2004-07-31,293.9,2004,7
Roraima,2004-08-31,181.2,2004,8
Roraima,2004-09-30,194.2,2004,9
Roraima,2004-10-31,107.4,2004,10
Roraima,2004-11-30,2.6,2004,11
Roraima,2004-12-31,2.2,2004,12
Roraima,2005-01-31,47.2,2005,1
Roraima,2005-02-28,60.9,2005,2
Roraima,2005-03-31,24.8,2005,3
Roraima,2005-04-30,378.3,2005,4
Roraima,2005-05-31,295.8,2005,5
Roraima,2005-06-30,379.9,2005,6
Roraima,2005-07-31,339.1,2005,7
Roraima,2005-08-31,363.5,2005,8
Roraima,2005-09-30,94.0,2005,9
Roraima,2005-10-31,72.5,2005,10
Roraima,2005-11-30,40.1,2005,11
Roraima,2005-12-31,44.7,2005,12
Roraima,2006-01-31,209.6,2006,1
Roraima,2006-02-28,15.1,2006,2
Roraima,2006-03-31,15.8,2006,3
Roraima,2006-04-30,237.8,2006,4
Roraima,2006-05-31,640.2,2006,5
Roraima,2006-06-30,643.7,2006,6
Roraima,2006-07-31,391.6,2006,7
Roraima,2006-08-31,178.8,2006,8
Roraima,2006-09-30,72.6,2006,9
Roraima,2006-10-31,18.4,2006,10
Roraima,2006-11-30,56.0,2006,11
Roraima,2006-12-31,13.1,2006,12
Roraima,2007-01-31,2.6,2007,1
Roraima,2007-02-28,1.8,2007,2
Roraima,2007-03-31,96.7,2007,3
Roraima,2007-04-30,123.0,2007,4
Roraima,2007-05-31,447.9,2007,5
Roraima,2007-06-30,433.8,2007,6
Roraima,2007-07-31,344.1,2007,7
Roraima,2007-08-31,331.4,2007,8
Roraima,2007-09-30,89.0,2007,9
Roraima,2007-10-31,135.8,2007,10
Roraima,2007-11-30,11.2,2007,11
Roraima,2007-12-31,95.4,2007,12
Roraima,2008-01-31,44.5,2008,1
Roraima,2008-02-29,31.0,2008,2
Roraima,2008-03-31,66.8,2008,3
Roraima,2008-04-30,57.8,2008,4
Roraima,2008-05-31,378.2,2008,5
Roraima,2008-06-30,240.5,2008,6
Roraima,2008-07-31,451.8,2008,7
Roraima,2008-08-31,103.8,2008,8
Roraima,2008-09-30,136.2,2008,9
Roraima,2008-10-31,100.3,2008,10
Roraima,2008-11-30,162.4,2008,11
Roraima,2008-12-31,290.4,2008,12
Roraima,2009-01-31,99.8,2009,1
Roraima,2009-02-28,32.0,2009,2
