year,state,month,number,date,country
2002,Acre,8,728,01-01-02,Brazil
2003,Acre,8,1,01-01-03,Brazil
2004,Acre,8,645,01-01-04,Brazil
2005,Acre,8,4,01-01-05,Brazil
2006,Acre,8,839,01-01-06,Brazil
2007,Acre,8,960,01-01-07,Brazil
2008,Acre,8,445,01-01-08,Brazil
2009,Acre,8,194,01-01-09,Brazil
2010,Acre,8,1,01-01-10,Brazil
2011,Acre,8,425,01-01-11,Brazil
2012,Acre,8,739,01-01-12,Brazil
2013,Acre,8,679,01-01-13,Brazil
2014,Acre,8,1,01-01-14,Brazil
2015,Acre,8,1,01-01-15,Brazil
2016,Acre,8,2,01-01-16,Brazil
2017,Acre,8,1,01-01-17,Brazil
1998,Acre,9,509,01-01-98,Brazil
1999,Acre,9,209,01-01-99,Brazil
2000,Acre,9,265,01-01-00,Brazil
2001,Acre,9,290,01-01-01,Brazil
2002,Acre,9,1,01-01-02,Brazil
2003,Acre,9,3,01-01-03,Brazil
2004,Acre,9,1,01-01-04,Brazil
2005,Acre,9,4,01-01-05,Brazil
2006,Acre,9,2,01-01-06,Brazil
2007,Acre,9,2,01-01-07,Brazil
2008,Acre,9,1,01-01-08,Brazil
2009,Acre,9,1,01-01-09,Brazil
2010,Acre,9,2,01-01-10,Brazil
2011,Acre,9,1,01-01-11,Brazil
2012,Acre,9,1,01-01-12,Brazil
2013,Acre,9,2,01-01-13,Brazil
2014,Acre,9,2,01-01-14,Brazil
2015,Acre,9,2,01-01-15,Brazil
2016,Acre,9,3,01-01-16,Brazil
2017,Acre,9,3,01-01-17,Brazil
1998,Acre,10,44,01-01-98,Brazil
1999,Acre,10,60,01-01-99,Brazil
2000,Acre,10,18,01-01-00,Brazil
2001,Acre,10,137,01-01-01,Brazil
2002,Acre,10,687,01-01-02,Brazil
2003,Acre,10,740,01-01-03,Brazil
2004,Acre,10,461,01-01-04,Brazil
2005,Acre,10,547,01-01-05,Brazil
2006,Acre,10,316,01-01-06,Brazil
2007,Acre,10,203,01-01-07,Brazil
2008,Acre,10,652,01-01-08,Brazil
2009,Acre,10,565,01-01-09,Brazil
2010,Acre,10,292,01-01-10,Brazil
2011,Acre,10,97,01-01-11,Brazil
2012,Acre,10,348,01-01-12,Brazil
2013,Acre,10,258,01-01-13,Brazil
2014,Acre,10,406,01-01-14,Brazil
2015,Acre,10,905,01-01-15,Brazil
2016,Acre,10,509,01-01-16,Brazil
2017,Acre,10,1,01-01-17,Brazil
1998,Acre,11,0,01-01-98,Brazil
1999,Acre,11,0,01-01-99,Brazil
2000,Acre,11,0,01-01-00,Brazil
2001,Acre,11,1,01-01-01,Brazil
2002,Acre,11,86,01-01-02,Brazil
2003,Acre,11,15,01-01-03,Brazil
2004,Acre,11,10,01-01-04,Brazil
2005,Acre,11,14,01-01-05,Brazil
2006,Acre,11,18,01-01-06,Brazil
2007,Acre,11,7,01-01-07,Brazil
2008,Acre,11,4,01-01-08,Brazil
2009,Acre,11,33,01-01-09,Brazil
2010,Acre,11,39,01-01-10,Brazil
2011,Acre,11,74,01-01-11,Brazil
2012,Acre,11,13,01-01-12,Brazil
2013,Acre,11,79,01-01-13,Brazil
2014,Acre,11,56,01-01-14,Brazil
2015,Acre,11,115,01-01-15,Brazil
2016,Acre,11,46,01-01-16,Brazil
2017,Acre,11,98,01-01-17,Brazil
1998,Acre,12,7,01-01-98,Brazil
1999,Acre,12,0,01-01-99,Brazil
2000,Acre,12,0,01-01-00,Brazil
2001,Acre,12,0,01-01-01,Brazil
2002,Acre,12,1,01-01-02,Brazil
2003,Acre,12,1,01-01-03,Brazil
2004,Acre,12,7,01-01-04,Brazil
2005,Acre,12,2,01-01-05,Brazil
2006,Acre,12,0,01-01-06,Brazil
2007,Acre,12,0,01-01-07,Brazil
2008,Acre,12,0,01-01-08,Brazil
2009,Acre,12,1,01-01-09,Brazil
2010,Acre,12,0,01-01-10,Brazil
2011,Acre,12,4,01-01-11,Brazil
2012,Acre,12,1,01-01-12,Brazil
2013,Acre,12,3,01-01-13,Brazil
2014,Acre,12,6,01-01-14,Brazil
2015,Acre,12,8,01-01-15,Brazil
2016,Acre,12,6,01-01-16,Brazil
1998,Alagoas,1,0,01-01-98,Brazil
1999,Alagoas,1,58,01-01-99,Brazil
2000,Alagoas,1,11,01-01-00,Brazil
2001,Alagoas,1,5,01-01-01,Brazil
2002,Alagoas,1,12,01-01-02,Brazil
2003,Alagoas,1,150,01-01-03,Brazil
2004,Alagoas,1,9,01-01-04,Brazil
2005,Alagoas,1,83,01-01-05,Brazil
2006,Alagoas,1,29,01-01-06,Brazil
2007,Alagoas,1,33,01-01-07,Brazil
2008,Alagoas,1,55,01-01-08,Brazil
2009,Alagoas,1,104,01-01-09,Brazil
2010,Alagoas,1,23,01-01-10,Brazil
2011,Alagoas,1,41,01-01-11,Brazil
2012,Alagoas,1,36,01-01-12,Brazil
2013,Alagoas,1,49,01-01-13,Brazil
2014,Alagoas,1,54,01-01-14,Brazil
2015,Alagoas,1,81,01-01-15,Brazil
2016,Alagoas,1,24,01-01-16,Brazil
2017,Alagoas,1,38,01-01-17,Brazil
1998,Alagoas,2,0,01-01-98,Brazil
1999,Alagoas,2,20,01-01-99,Brazil
2000,Alagoas,2,16,01-01-00,Brazil
2001,Alagoas,2,4,01-01-01,Brazil
2002,Alagoas,2,15,01-01-02,Brazil
2003,Alagoas,2,33,01-01-03,Brazil
2004,Alagoas,2,7,01-01-04,Brazil
2005,Alagoas,2,31,01-01-05,Brazil
2006,Alagoas,2,14,01-01-06,Brazil
2007,Alagoas,2,28,01-01-07,Brazil
2008,Alagoas,2,74,01-01-08,Brazil
2009,Alagoas,2,32,01-01-09,Brazil
2010,Alagoas,2,26,01-01-10,Brazil
2011,Alagoas,2,33,01-01-11,Brazil
2012,Alagoas,2,41,01-01-12,Brazil
2013,Alagoas,2,19,01-01-13,Brazil
2014,Alagoas,2,29,01-01-14,Brazil
2015,Alagoas,2,46,01-01-15,Brazil
2016,Alagoas,2,14,01-01-16,Brazil
2017,Alagoas,2,21,01-01-17,Brazil
1998,Alagoas,3,0,01-01-98,Brazil
1999,Alagoas,3,52,01-01-99,Brazil
2000,Alagoas,3,32,01-01-00,Brazil
2001,Alagoas,3,0,01-01-01,Brazil
2002,Alagoas,3,27,01-01-02,Brazil
2003,Alagoas,3,15,01-01-03,Brazil
2004,Alagoas,3,16,01-01-04,Brazil
2005,Alagoas,3,35,01-01-05,Brazil
2006,Alagoas,3,37,01-01-06,Brazil
2007,Alagoas,3,7,01-01-07,Brazil
2008,Alagoas,3,31,01-01-08,Brazil
2009,Alagoas,3,31,01-01-09,Brazil
2010,Alagoas,3,70,01-01-10,Brazil
2011,Alagoas,3,34,01-01-11,Brazil
2012,Alagoas,3,44,01-01-12,Brazil
2013,Alagoas,3,31,01-01-13,Brazil
2014,Alagoas,3,28,01-01-14,Brazil
2015,Alagoas,3,32,01-01-15,Brazil
2016,Alagoas,3,9,01-01-16,Brazil
2017,Alagoas,3,23,01-01-17,Brazil
1998,Alagoas,4,0,01-01-98,Brazil
1999,Alagoas,4,4,01-01-99,Brazil
2000,Alagoas,4,20,01-01-00,Brazil
2001,Alagoas,4,0,01-01-01,Brazil
2002,Alagoas,4,6,01-01-02,Brazil
2003,Alagoas,4,20,01-01-03,Brazil
2004,Alagoas,4,6,01-01-04,Brazil
2005,Alagoas,4,1,01-01-05,Brazil
2006,Alagoas,4,2,01-01-06,Brazil
2007,Alagoas,4,1,01-01-07,Brazil
2008,Alagoas,4,18,01-01-08,Brazil
2009,Alagoas,4,5,01-01-09,Brazil
2010,Alagoas,4,3,01-01-10,Brazil
2011,Alagoas,4,17,01-01-11,Brazil
2012,Alagoas,4,18,01-01-12,Brazil
2013,Alagoas,4,25,01-01-13,Brazil
2014,Alagoas,4,16,01-01-14,Brazil
2015,Alagoas,4,63,01-01-15,Brazil
2016,Alagoas,4,13,01-01-16,Brazil
2017,Alagoas,4,7,01-01-17,Brazil
1998,Alagoas,5,0,01-01-98,Brazil
1999,Alagoas,5,1,01-01-99,Brazil
2000,Alagoas,5,1,01-01-00,Brazil
2001,Alagoas,5,2,01-01-01,Brazil
2002,Alagoas,5,1,01-01-02,Brazil
2003,Alagoas,5,1,01-01-03,Brazil
2004,Alagoas,5,3,01-01-04,Brazil
2005,Alagoas,5,0,01-01-05,Brazil
2006,Alagoas,5,0,01-01-06,Brazil
2007,Alagoas,5,0,01-01-07,Brazil
2008,Alagoas,5,0,01-01-08,Brazil
2009,Alagoas,5,0,01-01-09,Brazil
2010,Alagoas,5,0,01-01-10,Brazil
2011,Alagoas,5,0,01-01-11,Brazil
2012,Alagoas,5,21,01-01-12,Brazil
2013,Alagoas,5,2,01-01-13,Brazil
2014,Alagoas,5,1,01-01-14,Brazil
2015,Alagoas,5,18,01-01-15,Brazil
2016,Alagoas,5,4,01-01-16,Brazil
2017,Alagoas,5,1,01-01-17,Brazil
1998,Alagoas,6,0,01-01-98,Brazil
1999,Alagoas,6,0,01-01-99,Brazil
2000,Alagoas,6,0,01-01-00,Brazil
2001,Alagoas,6,2,01-01-01,Brazil
2002,Alagoas,6,0,01-01-02,Brazil
2003,Alagoas,6,0,01-01-03,Brazil
2004,Alagoas,6,0,01-01-04,Brazil
2005,Alagoas,6,0,01-01-05,Brazil
2006,Alagoas,6,0,01-01-06,Brazil
2007,Alagoas,6,0,01-01-07,Brazil
2008,Alagoas,6,0,01-01-08,Brazil
2009,Alagoas,6,0,01-01-09,Brazil
2010,Alagoas,6,0,01-01-10,Brazil
2011,Alagoas,6,2,01-01-11,Brazil
