year,state,month,number,date,country
2002,Distrito Federal,10,19,01-01-02,Brazil
2003,Distrito Federal,10,12,01-01-03,Brazil
2004,Distrito Federal,10,18,01-01-04,Brazil
2005,Distrito Federal,10,18,01-01-05,Brazil
2006,Distrito Federal,10,1,01-01-06,Brazil
2007,Distrito Federal,10,13,01-01-07,Brazil
2008,Distrito Federal,10,6,01-01-08,Brazil
2009,Distrito Federal,10,3,01-01-09,Brazil
2010,Distrito Federal,10,6,01-01-10,Brazil
2011,Distrito Federal,10,0,01-01-11,Brazil
2012,Distrito Federal,10,15,01-01-12,Brazil
2013,Distrito Federal,10,3,01-01-13,Brazil
2014,Distrito Federal,10,34,01-01-14,Brazil
2015,Distrito Federal,10,21,01-01-15,Brazil
2016,Distrito Federal,10,9,01-01-16,Brazil
2017,Distrito Federal,10,66,01-01-17,Brazil
1998,Distrito Federal,11,0,01-01-98,Brazil
1999,Distrito Federal,11,1,01-01-99,Brazil
2000,Distrito Federal,11,0,01-01-00,Brazil
2001,Distrito Federal,11,0,01-01-01,Brazil
2002,Distrito Federal,11,1,01-01-02,Brazil
2003,Distrito Federal,11,0,01-01-03,Brazil
2004,Distrito Federal,11,0,01-01-04,Brazil
2005,Distrito Federal,11,2,01-01-05,Brazil
2006,Distrito Federal,11,0,01-01-06,Brazil
2007,Distrito Federal,11,0,01-01-07,Brazil
2008,Distrito Federal,11,4,01-01-08,Brazil
2009,Distrito Federal,11,0,01-01-09,Brazil
2010,Distrito Federal,11,0,01-01-10,Brazil
2011,Distrito Federal,11,1,01-01-11,Brazil
2012,Distrito Federal,11,0,01-01-12,Brazil
2013,Distrito Federal,11,0,01-01-13,Brazil
2014,Distrito Federal,11,0,01-01-14,Brazil
2015,Distrito Federal,11,3,01-01-15,Brazil
2016,Distrito Federal,11,1,01-01-16,Brazil
2017,Distrito Federal,11,0,01-01-17,Brazil
1998,Distrito Federal,12,0,01-01-98,Brazil
1999,Distrito Federal,12,0,01-01-99,Brazil
2000,Distrito Federal,12,0,01-01-00,Brazil
2001,Distrito Federal,12,1,01-01-01,Brazil
2002,Distrito Federal,12,1,01-01-02,Brazil
2003,Distrito Federal,12,0,01-01-03,Brazil
2004,Distrito Federal,12,0,01-01-04,Brazil
2005,Distrito Federal,12,0,01-01-05,Brazil
2006,Distrito Federal,12,0,01-01-06,Brazil
2007,Distrito Federal,12,0,01-01-07,Brazil
2008,Distrito Federal,12,0,01-01-08,Brazil
2009,Distrito Federal,12,0,01-01-09,Brazil
2010,Distrito Federal,12,1,01-01-10,Brazil
2011,Distrito Federal,12,0,01-01-11,Brazil
2012,Distrito Federal,12,0,01-01-12,Brazil
2013,Distrito Federal,12,2,01-01-13,Brazil
2014,Distrito Federal,12,0,01-01-14,Brazil
2015,Distrito Federal,12,0,01-01-15,Brazil
2016,Distrito Federal,12,0,01-01-16,Brazil
1998,Espirito Santo,1,0,01-01-98,Brazil
1999,Espirito Santo,1,33,01-01-99,Brazil
2000,Espirito Santo,1,5,01-01-00,Brazil
2001,Espirito Santo,1,1,01-01-01,Brazil
2002,Espirito Santo,1,2,01-01-02,Brazil
2003,Espirito Santo,1,4,01-01-03,Brazil
2004,Espirito Santo,1,1,01-01-04,Brazil
2005,Espirito Santo,1,4,01-01-05,Brazil
2006,Espirito Santo,1,13,01-01-06,Brazil
2007,Espirito Santo,1,0,01-01-07,Brazil
2008,Espirito Santo,1,12,01-01-08,Brazil
2009,Espirito Santo,1,4,01-01-09,Brazil
2010,Espirito Santo,1,52,01-01-10,Brazil
2011,Espirito Santo,1,3,01-01-11,Brazil
2012,Espirito Santo,1,1,01-01-12,Brazil
2013,Espirito Santo,1,10,01-01-13,Brazil
2014,Espirito Santo,1,11,01-01-14,Brazil
2015,Espirito Santo,1,76,01-01-15,Brazil
2016,Espirito Santo,1,43,01-01-16,Brazil
2017,Espirito Santo,1,13,01-01-17,Brazil
1998,Espirito Santo,2,0,01-01-98,Brazil
1999,Espirito Santo,2,10,01-01-99,Brazil
2000,Espirito Santo,2,5,01-01-00,Brazil
2001,Espirito Santo,2,5,01-01-01,Brazil
2002,Espirito Santo,2,4,01-01-02,Brazil
2003,Espirito Santo,2,11,01-01-03,Brazil
2004,Espirito Santo,2,5,01-01-04,Brazil
2005,Espirito Santo,2,1,01-01-05,Brazil
2006,Espirito Santo,2,45,01-01-06,Brazil
2007,Espirito Santo,2,3,01-01-07,Brazil
2008,Espirito Santo,2,20,01-01-08,Brazil
2009,Espirito Santo,2,12,01-01-09,Brazil
2010,Espirito Santo,2,15,01-01-10,Brazil
2011,Espirito Santo,2,42,01-01-11,Brazil
2012,Espirito Santo,2,25,01-01-12,Brazil
2013,Espirito Santo,2,15,01-01-13,Brazil
2014,Espirito Santo,2,17,01-01-14,Brazil
2015,Espirito Santo,2,60,01-01-15,Brazil
2016,Espirito Santo,2,24,01-01-16,Brazil
2017,Espirito Santo,2,8,01-01-17,Brazil
1998,Espirito Santo,3,0,01-01-98,Brazil
1999,Espirito Santo,3,8,01-01-99,Brazil
2000,Espirito Santo,3,1,01-01-00,Brazil
2001,Espirito Santo,3,2,01-01-01,Brazil
2002,Espirito Santo,3,4,01-01-02,Brazil
2003,Espirito Santo,3,28,01-01-03,Brazil
2004,Espirito Santo,3,3,01-01-04,Brazil
2005,Espirito Santo,3,3,01-01-05,Brazil
2006,Espirito Santo,3,14,01-01-06,Brazil
2007,Espirito Santo,3,9,01-01-07,Brazil
2008,Espirito Santo,3,5,01-01-08,Brazil
2009,Espirito Santo,3,11,01-01-09,Brazil
2010,Espirito Santo,3,3,01-01-10,Brazil
2011,Espirito Santo,3,5,01-01-11,Brazil
2012,Espirito Santo,3,35,01-01-12,Brazil
2013,Espirito Santo,3,13,01-01-13,Brazil
2014,Espirito Santo,3,15,01-01-14,Brazil
2015,Espirito Santo,3,25,01-01-15,Brazil
2016,Espirito Santo,3,107,01-01-16,Brazil
2017,Espirito Santo,3,9,01-01-17,Brazil
1998,Espirito Santo,4,0,01-01-98,Brazil
1999,Espirito Santo,4,2,01-01-99,Brazil
2000,Espirito Santo,4,3,01-01-00,Brazil
2001,Espirito Santo,4,2,01-01-01,Brazil
2002,Espirito Santo,4,2,01-01-02,Brazil
2003,Espirito Santo,4,22,01-01-03,Brazil
2004,Espirito Santo,4,0,01-01-04,Brazil
2005,Espirito Santo,4,4,01-01-05,Brazil
2006,Espirito Santo,4,1,01-01-06,Brazil
2007,Espirito Santo,4,2,01-01-07,Brazil
2008,Espirito Santo,4,8,01-01-08,Brazil
2009,Espirito Santo,4,8,01-01-09,Brazil
2010,Espirito Santo,4,7,01-01-10,Brazil
2011,Espirito Santo,4,3,01-01-11,Brazil
2012,Espirito Santo,4,74,01-01-12,Brazil
2013,Espirito Santo,4,16,01-01-13,Brazil
2014,Espirito Santo,4,15,01-01-14,Brazil
2015,Espirito Santo,4,33,01-01-15,Brazil
2016,Espirito Santo,4,57,01-01-16,Brazil
2017,Espirito Santo,4,7,01-01-17,Brazil
1998,Espirito Santo,5,0,01-01-98,Brazil
1999,Espirito Santo,5,16,01-01-99,Brazil
2000,Espirito Santo,5,2,01-01-00,Brazil
2001,Espirito Santo,5,8,01-01-01,Brazil
2002,Espirito Santo,5,5,01-01-02,Brazil
2003,Espirito Santo,5,1,01-01-03,Brazil
2004,Espirito Santo,5,0,01-01-04,Brazil
2005,Espirito Santo,5,5,01-01-05,Brazil
2006,Espirito Santo,5,0,01-01-06,Brazil
2007,Espirito Santo,5,1,01-01-07,Brazil
2008,Espirito Santo,5,2,01-01-08,Brazil
2009,Espirito Santo,5,7,01-01-09,Brazil
2010,Espirito Santo,5,3,01-01-10,Brazil
2011,Espirito Santo,5,2,01-01-11,Brazil
2012,Espirito Santo,5,20,01-01-12,Brazil
2013,Espirito Santo,5,14,01-01-13,Brazil
2014,Espirito Santo,5,18,01-01-14,Brazil
2015,Espirito Santo,5,17,01-01-15,Brazil
2016,Espirito Santo,5,48,01-01-16,Brazil
2017,Espirito Santo,5,10,01-01-17,Brazil
1998,Espirito Santo,6,6,01-01-98,Brazil
1999,Espirito Santo,6,6,01-01-99,Brazil
2000,Espirito Santo,6,9,01-01-00,Brazil
2001,Espirito Santo,6,9,01-01-01,Brazil
2002,Espirito Santo,6,18,01-01-02,Brazil
2003,Espirito Santo,6,19,01-01-03,Brazil
2004,Espirito Santo,6,3,01-01-04,Brazil
2005,Espirito Santo,6,8,01-01-05,Brazil
2006,Espirito Santo,6,5,01-01-06,Brazil
2007,Espirito Santo,6,4,01-01-07,Brazil
2008,Espirito Santo,6,4,01-01-08,Brazil
2009,Espirito Santo,6,12,01-01-09,Brazil
2010,Espirito Santo,6,3,01-01-10,Brazil
2011,Espirito Santo,6,7,01-01-11,Brazil
2012,Espirito Santo,6,15,01-01-12,Brazil
2013,Espirito Santo,6,22,01-01-13,Brazil
2014,Espirito Santo,6,9,01-01-14,Brazil
2015,Espirito Santo,6,18,01-01-15,Brazil
2016,Espirito Santo,6,49,01-01-16,Brazil
2017,Espirito Santo,6,37,01-01-17,Brazil
1998,Espirito Santo,7,37,01-01-98,Brazil
1999,Espirito Santo,7,9,01-01-99,Brazil
2000,Espirito Santo,7,16,01-01-00,Brazil
2001,Espirito Santo,7,12,01-01-01,Brazil
2002,Espirito Santo,7,9,01-01-02,Brazil
2003,Espirito Santo,7,27,01-01-03,Brazil
2004,Espirito Santo,7,4,01-01-04,Brazil
2005,Espirito Santo,7,9,01-01-05,Brazil
2006,Espirito Santo,7,11,01-01-06,Brazil
2007,Espirito Santo,7,13,01-01-07,Brazil
2008,Espirito Santo,7,5,01-01-08,Brazil
2009,Espirito Santo,7,25,01-01-09,Brazil
2010,Espirito Santo,7,5,01-01-10,Brazil
2011,Espirito Santo,7,18,01-01-11,Brazil
2012,Espirito Santo,7,35,01-01-12,Brazil
2013,Espirito Santo,7,20,01-01-13,Brazil
2014,Espirito Santo,7,17,01-01-14,Brazil
2015,Espirito Santo,7,30,01-01-15,Brazil
2016,Espirito Santo,7,42,01-01-16,Brazil
2017,Espirito Santo,7,3,01-01-17,Brazil
1998,Espirito Santo,8,38,01-01-98,Brazil
1999,Espirito Santo,8,60,01-01-99,Brazil
2000,Espirito Santo,8,26,01-01-00,Brazil
2001,Espirito Santo,8,30,01-01-01,Brazil
2002,Espirito Santo,8,60,01-01-02,Brazil
2003,Espirito Santo,8,118,01-01-03,Brazil
2004,Espirito Santo,8,12,01-01-04,Brazil
2005,Espirito Santo,8,12,01-01-05,Brazil
2006,Espirito Santo,8,29,01-01-06,Brazil
2007,Espirito Santo,8,82,01-01-07,Brazil
2008,Espirito Santo,8,13,01-01-08,Brazil
2009,Espirito Santo,8,17,01-01-09,Brazil
2010,Espirito Santo,8,39,01-01-10,Brazil
2011,Espirito Santo,8,93,01-01-11,Brazil
2012,Espirito Santo,8,12,01-01-12,Brazil
2013,Espirito Santo,8,53,01-01-13,Brazil
2014,Espirito Santo,8,47,01-01-14,Brazil
2015,Espirito Santo,8,35,01-01-15,Brazil
2016,Espirito Santo,8,78,01-01-16,Brazil
2017,Espirito Santo,8,30,01-01-17,Brazil
1998,Espirito Santo,9,108,01-01-98,Brazil
1999,Espirito Santo,9,64,01-01-99,Brazil
2000,Espirito Santo,9,14,01-01-00,Brazil
2001,Espirito Santo,9,38,01-01-01,Brazil
2002,Espirito Santo,9,46,01-01-02,Brazil
2003,Espirito Santo,9,252,01-01-03,Brazil
2004,Espirito Santo,9,47,01-01-04,Brazil
2005,Espirito Santo,9,8,01-01-05,Brazil
2006,Espirito Santo,9,87,01-01-06,Brazil
2007,Espirito Santo,9,63,01-01-07,Brazil
2008,Espirito Santo,9,78,01-01-08,Brazil
2009,Espirito Santo,9,57,01-01-09,Brazil
2010,Espirito Santo,9,53,01-01-10,Brazil
2011,Espirito Santo,9,108,01-01-11,Brazil
2012,Espirito Santo,9,48,01-01-12,Brazil
2013,Espirito Santo,9,30,01-01-13,Brazil
2014,Espirito Santo,9,61,01-01-14,Brazil
2015,Espirito Santo,9,228,01-01-15,Brazil
2016,Espirito Santo,9,128,01-01-16,Brazil
2017,Espirito Santo,9,58,01-01-17,Brazil
1998,Espirito Santo,10,20,01-01-98,Brazil
1999,Espirito Santo,10,23,01-01-99,Brazil
2000,Espirito Santo,10,88,01-01-00,Brazil
2001,Espirito Santo,10,19,01-01-01,Brazil
2002,Espirito Santo,10,113,01-01-02,Brazil
2003,Espirito Santo,10,159,01-01-03,Brazil
2004,Espirito Santo,10,48,01-01-04,Brazil
2005,Espirito Santo,10,62,01-01-05,Brazil
2006,Espirito Santo,10,10,01-01-06,Brazil
2007,Espirito Santo,10,79,01-01-07,Brazil
2008,Espirito Santo,10,100,01-01-08,Brazil
2009,Espirito Santo,10,13,01-01-09,Brazil
2010,Espirito Santo,10,32,01-01-10,Brazil
2011,Espirito Santo,10,38,01-01-11,Brazil
2012,Espirito Santo,10,62,01-01-12,Brazil
2013,Espirito Santo,10,37,01-01-13,Brazil
2014,Espirito Santo,10,89,01-01-14,Brazil
2015,Espirito Santo,10,307,01-01-15,Brazil
2016,Espirito Santo,10,58,01-01-16,Brazil
2017,Espirito Santo,10,56,01-01-17,Brazil
1998,Espirito Santo,11,4,01-01-98,Brazil
1999,Espirito Santo,11,9,01-01-99,Brazil
2000,Espirito Santo,11,3,01-01-00,Brazil
2001,Espirito Santo,11,3,01-01-01,Brazil
2002,Espirito Santo,11,22,01-01-02,Brazil
2003,Espirito Santo,11,49,01-01-03,Brazil
2004,Espirito Santo,11,42,01-01-04,Brazil
2005,Espirito Santo,11,0,01-01-05,Brazil
2006,Espirito Santo,11,0,01-01-06,Brazil
2007,Espirito Santo,11,112,01-01-07,Brazil
2008,Espirito Santo,11,3,01-01-08,Brazil
2009,Espirito Santo,11,18,01-01-09,Brazil
2010,Espirito Santo,11,3,01-01-10,Brazil
2011,Espirito Santo,11,6,01-01-11,Brazil
2012,Espirito Santo,11,7,01-01-12,Brazil
2013,Espirito Santo,11,11,01-01-13,Brazil
2014,Espirito Santo,11,20,01-01-14,Brazil
2015,Espirito Santo,11,141,01-01-15,Brazil
2016,Espirito Santo,11,8,01-01-16,Brazil
2017,Espirito Santo,11,3,01-01-17,Brazil
1998,Espirito Santo,12,5,01-01-98,Brazil
1999,Espirito Santo,12,0,01-01-99,Brazil
2000,Espirito Santo,12,3,01-01-00,Brazil
2001,Espirito Santo,12,1,01-01-01,Brazil
2002,Espirito Santo,12,12,01-01-02,Brazil
2003,Espirito Santo,12,18,01-01-03,Brazil
2004,Espirito Santo,12,9,01-01-04,Brazil
2005,Espirito Santo,12,5,01-01-05,Brazil
2006,Espirito Santo,12,0,01-01-06,Brazil
2007,Espirito Santo,12,14,01-01-07,Brazil
2008,Espirito Santo,12,1,01-01-08,Brazil
2009,Espirito Santo,12,32,01-01-09,Brazil
2010,Espirito Santo,12,10,01-01-10,Brazil
2011,Espirito Santo,12,1,01-01-11,Brazil
2012,Espirito Santo,12,18,01-01-12,Brazil
2013,Espirito Santo,12,9,01-01-13,Brazil
2014,Espirito Santo,12,28,01-01-14,Brazil
2015,Espirito Santo,12,61,01-01-15,Brazil
2016,Espirito Santo,12,12,01-01-16,Brazil
1998,Goias,1,0,01-01-98,Brazil
1999,Goias,1,14,01-01-99,Brazil
2000,Goias,1,10,01-01-00,Brazil
2001,Goias,1,29,01-01-01,Brazil
2002,Goias,1,12,01-01-02,Brazil
2003,Goias,1,14,01-01-03,Brazil
2004,Goias,1,10,01-01-04,Brazil
2005,Goias,1,27,01-01-05,Brazil
2006,Goias,1,85,01-01-06,Brazil
2007,Goias,1,28,01-01-07,Brazil
2008,Goias,1,23,01-01-08,Brazil
2009,Goias,1,30,01-01-09,Brazil
2010,Goias,1,59,01-01-10,Brazil
2011,Goias,1,39,01-01-11,Brazil
2012,Goias,1,21,01-01-12,Brazil
2013,Goias,1,33,01-01-13,Brazil
2014,Goias,1,80,01-01-14,Brazil
2015,Goias,1,118,01-01-15,Brazil
2016,Goias,1,52,01-01-16,Brazil
2017,Goias,1,53,01-01-17,Brazil
1998,Goias,2,0,01-01-98,Brazil
1999,Goias,2,334,01-01-99,Brazil
2000,Goias,2,11,01-01-00,Brazil
2001,Goias,2,9,01-01-01,Brazil
2002,Goias,2,9,01-01-02,Brazil
2003,Goias,2,47,01-01-03,Brazil
2004,Goias,2,11,01-01-04,Brazil
2005,Goias,2,84,01-01-05,Brazil
2006,Goias,2,21,01-01-06,Brazil
2007,Goias,2,13,01-01-07,Brazil
2008,Goias,2,25,01-01-08,Brazil
2009,Goias,2,29,01-01-09,Brazil
2010,Goias,2,86,01-01-10,Brazil
2011,Goias,2,45,01-01-11,Brazil
2012,Goias,2,37,01-01-12,Brazil
2013,Goias,2,86,01-01-13,Brazil
2014,Goias,2,44,01-01-14,Brazil
2015,Goias,2,53,01-01-15,Brazil
2016,Goias,2,117,01-01-16,Brazil
2017,Goias,2,75,01-01-17,Brazil
1998,Goias,3,0,01-01-98,Brazil
1999,Goias,3,1,01-01-99,Brazil
2000,Goias,3,4,01-01-00,Brazil
2001,Goias,3,10,01-01-01,Brazil
2002,Goias,3,48,01-01-02,Brazil
2003,Goias,3,29,01-01-03,Brazil
2004,Goias,3,36,01-01-04,Brazil
2005,Goias,3,36,01-01-05,Brazil
2006,Goias,3,29,01-01-06,Brazil
2007,Goias,3,49,01-01-07,Brazil
2008,Goias,3,20,01-01-08,Brazil
2009,Goias,3,32,01-01-09,Brazil
2010,Goias,3,65,01-01-10,Brazil
2011,Goias,3,19,01-01-11,Brazil
2012,Goias,3,57,01-01-12,Brazil
2013,Goias,3,79,01-01-13,Brazil
2014,Goias,3,80,01-01-14,Brazil
2015,Goias,3,76,01-01-15,Brazil
2016,Goias,3,136,01-01-16,Brazil
2017,Goias,3,115,01-01-17,Brazil
1998,Goias,4,0,01-01-98,Brazil
1999,Goias,4,25,01-01-99,Brazil
2000,Goias,4,16,01-01-00,Brazil
2001,Goias,4,49,01-01-01,Brazil
2002,Goias,4,78,01-01-02,Brazil
2003,Goias,4,87,01-01-03,Brazil
2004,Goias,4,32,01-01-04,Brazil
2005,Goias,4,55,01-01-05,Brazil
2006,Goias,4,22,01-01-06,Brazil
2007,Goias,4,17,01-01-07,Brazil
2008,Goias,4,36,01-01-08,Brazil
2009,Goias,4,11,01-01-09,Brazil
2010,Goias,4,105,01-01-10,Brazil
2011,Goias,4,71,01-01-11,Brazil
2012,Goias,4,89,01-01-12,Brazil
2013,Goias,4,42,01-01-13,Brazil
2014,Goias,4,138,01-01-14,Brazil
2015,Goias,4,89,01-01-15,Brazil
2016,Goias,4,167,01-01-16,Brazil
2017,Goias,4,60,01-01-17,Brazil
1998,Goias,5,0,01-01-98,Brazil
1999,Goias,5,99,01-01-99,Brazil
2000,Goias,5,58,01-01-00,Brazil
2001,Goias,5,85,01-01-01,Brazil
2002,Goias,5,171,01-01-02,Brazil
2003,Goias,5,57,01-01-03,Brazil
2004,Goias,5,157,01-01-04,Brazil
2005,Goias,5,164,01-01-05,Brazil
2006,Goias,5,33,01-01-06,Brazil
2007,Goias,5,94,01-01-07,Brazil
2008,Goias,5,41,01-01-08,Brazil
2009,Goias,5,104,01-01-09,Brazil
2010,Goias,5,239,01-01-10,Brazil
2011,Goias,5,136,01-01-11,Brazil
2012,Goias,5,103,01-01-12,Brazil
2013,Goias,5,150,01-01-13,Brazil
2014,Goias,5,210,01-01-14,Brazil
2015,Goias,5,129,01-01-15,Brazil
2016,Goias,5,233,01-01-16,Brazil
2017,Goias,5,135,01-01-17,Brazil
1998,Goias,6,172,01-01-98,Brazil
1999,Goias,6,250,01-01-99,Brazil
2000,Goias,6,222,01-01-00,Brazil
2001,Goias,6,212,01-01-01,Brazil
2002,Goias,6,302,01-01-02,Brazil
2003,Goias,6,321,01-01-03,Brazil
2004,Goias,6,422,01-01-04,Brazil
2005,Goias,6,189,01-01-05,Brazil
2006,Goias,6,70,01-01-06,Brazil
2007,Goias,6,186,01-01-07,Brazil
2008,Goias,6,55,01-01-08,Brazil
2009,Goias,6,179,01-01-09,Brazil
2010,Goias,6,278,01-01-10,Brazil
2011,Goias,6,314,01-01-11,Brazil
2012,Goias,6,245,01-01-12,Brazil
2013,Goias,6,192,01-01-13,Brazil
2014,Goias,6,318,01-01-14,Brazil
2015,Goias,6,277,01-01-15,Brazil
2016,Goias,6,289,01-01-16,Brazil
2017,Goias,6,442,01-01-17,Brazil
1998,Goias,7,512,01-01-98,Brazil
1999,Goias,7,311,01-01-99,Brazil
2000,Goias,7,332,01-01-00,Brazil
2001,Goias,7,371,01-01-01,Brazil
2002,Goias,7,686,01-01-02,Brazil
2003,Goias,7,322,01-01-03,Brazil
2004,Goias,7,778,01-01-04,Brazil
2005,Goias,7,363,01-01-05,Brazil
2006,Goias,7,169,01-01-06,Brazil
2007,Goias,7,399,01-01-07,Brazil
2008,Goias,7,193,01-01-08,Brazil
2009,Goias,7,470,01-01-09,Brazil
2010,Goias,7,941,01-01-10,Brazil
2011,Goias,7,607,01-01-11,Brazil
2012,Goias,7,564,01-01-12,Brazil
2013,Goias,7,350,01-01-13,Brazil
2014,Goias,7,446,01-01-14,Brazil
2015,Goias,7,347,01-01-15,Brazil
2016,Goias,7,837,01-01-16,Brazil
2017,Goias,7,577,01-01-17,Brazil
1998,Goias,8,2,01-01-98,Brazil
1999,Goias,8,1,01-01-99,Brazil
2000,Goias,8,925,01-01-00,Brazil
2001,Goias,8,787,01-01-01,Brazil
2002,Goias,8,1,01-01-02,Brazil
2003,Goias,8,902,01-01-03,Brazil
2004,Goias,8,1,01-01-04,Brazil
2005,Goias,8,639,01-01-05,Brazil
2006,Goias,8,588,01-01-06,Brazil
2007,Goias,8,2,01-01-07,Brazil
2008,Goias,8,568,01-01-08,Brazil
2009,Goias,8,647,01-01-09,Brazil
2010,Goias,8,2,01-01-10,Brazil
2011,Goias,8,1,01-01-11,Brazil
2012,Goias,8,912,01-01-12,Brazil
2013,Goias,8,488,01-01-13,Brazil
2014,Goias,8,1,01-01-14,Brazil
2015,Goias,8,943,01-01-15,Brazil
2016,Goias,8,1,01-01-16,Brazil
2017,Goias,8,1,01-01-17,Brazil
1998,Goias,9,2,01-01-98,Brazil
1999,Goias,9,1,01-01-99,Brazil
2000,Goias,9,1,01-01-00,Brazil
2001,Goias,9,1,01-01-01,Brazil
2002,Goias,9,3,01-01-02,Brazil
2003,Goias,9,1,01-01-03,Brazil
2004,Goias,9,2,01-01-04,Brazil
2005,Goias,9,1,01-01-05,Brazil
2006,Goias,9,1,01-01-06,Brazil
2007,Goias,9,3,01-01-07,Brazil
2008,Goias,9,1,01-01-08,Brazil
2009,Goias,9,685,01-01-09,Brazil
2010,Goias,9,5,01-01-10,Brazil
2011,Goias,9,2,01-01-11,Brazil
2012,Goias,9,2,01-01-12,Brazil
2013,Goias,9,684,01-01-13,Brazil
2014,Goias,9,1,01-01-14,Brazil
2015,Goias,9,2,01-01-15,Brazil
2016,Goias,9,1,01-01-16,Brazil
2017,Goias,9,3,01-01-17,Brazil
1998,Goias,10,1,01-01-98,Brazil
1999,Goias,10,743,01-01-99,Brazil
2000,Goias,10,905,01-01-00,Brazil
2001,Goias,10,479,01-01-01,Brazil
2002,Goias,10,1,01-01-02,Brazil
2003,Goias,10,1,01-01-03,Brazil
2004,Goias,10,1,01-01-04,Brazil
2005,Goias,10,1,01-01-05,Brazil
2006,Goias,10,178,01-01-06,Brazil
2007,Goias,10,1,01-01-07,Brazil
2008,Goias,10,1,01-01-08,Brazil
2009,Goias,10,367,01-01-09,Brazil
2010,Goias,10,1,01-01-10,Brazil
2011,Goias,10,476,01-01-11,Brazil
2012,Goias,10,1,01-01-12,Brazil
2013,Goias,10,606,01-01-13,Brazil
2014,Goias,10,1,01-01-14,Brazil
2015,Goias,10,1,01-01-15,Brazil
2016,Goias,10,522,01-01-16,Brazil
2017,Goias,10,2,01-01-17,Brazil
1998,Goias,11,47,01-01-98,Brazil
1999,Goias,11,110,01-01-99,Brazil
2000,Goias,11,26,01-01-00,Brazil
2001,Goias,11,15,01-01-01,Brazil
2002,Goias,11,192,01-01-02,Brazil
2003,Goias,11,168,01-01-03,Brazil
2004,Goias,11,291,01-01-04,Brazil
2005,Goias,11,144,01-01-05,Brazil
2006,Goias,11,91,01-01-06,Brazil
2007,Goias,11,79,01-01-07,Brazil
2008,Goias,11,90,01-01-08,Brazil
2009,Goias,11,89,01-01-09,Brazil
2010,Goias,11,67,01-01-10,Brazil
2011,Goias,11,59,01-01-11,Brazil
2012,Goias,11,57,01-01-12,Brazil
2013,Goias,11,183,01-01-13,Brazil
2014,Goias,11,181,01-01-14,Brazil
2015,Goias,11,547,01-01-15,Brazil
2016,Goias,11,123,01-01-16,Brazil
2017,Goias,11,117,01-01-17,Brazil
1998,Goias,12,13,01-01-98,Brazil
1999,Goias,12,20,01-01-99,Brazil
2000,Goias,12,6,01-01-00,Brazil
2001,Goias,12,18,01-01-01,Brazil
2002,Goias,12,115,01-01-02,Brazil
2003,Goias,12,129,01-01-03,Brazil
2004,Goias,12,56,01-01-04,Brazil
2005,Goias,12,5,01-01-05,Brazil
2006,Goias,12,7,01-01-06,Brazil
2007,Goias,12,16,01-01-07,Brazil
2008,Goias,12,6,01-01-08,Brazil
2009,Goias,12,39,01-01-09,Brazil
2010,Goias,12,48,01-01-10,Brazil
2011,Goias,12,39,01-01-11,Brazil
2012,Goias,12,93,01-01-12,Brazil
2013,Goias,12,86,01-01-13,Brazil
2014,Goias,12,68,01-01-14,Brazil
2015,Goias,12,179,01-01-15,Brazil
2016,Goias,12,64,01-01-16,Brazil
1998,Maranhao,1,0,01-01-98,Brazil
1999,Maranhao,1,54,01-01-99,Brazil
2000,Maranhao,1,19,01-01-00,Brazil
2001,Maranhao,1,29,01-01-01,Brazil
2002,Maranhao,1,48,01-01-02,Brazil
2003,Maranhao,1,436,01-01-03,Brazil
2004,Maranhao,1,241,01-01-04,Brazil
2005,Maranhao,1,450,01-01-05,Brazil
2006,Maranhao,1,221,01-01-06,Brazil
2007,Maranhao,1,428,01-01-07,Brazil
2008,Maranhao,1,121,01-01-08,Brazil
2009,Maranhao,1,240,01-01-09,Brazil
2010,Maranhao,1,319,01-01-10,Brazil
2011,Maranhao,1,124,01-01-11,Brazil
2012,Maranhao,1,326,01-01-12,Brazil
2013,Maranhao,1,209,01-01-13,Brazil
2014,Maranhao,1,195,01-01-14,Brazil
2015,Maranhao,1,494,01-01-15,Brazil
2016,Maranhao,1,412,01-01-16,Brazil
2017,Maranhao,1,187,01-01-17,Brazil
1998,Maranhao,2,0,01-01-98,Brazil
1999,Maranhao,2,6,01-01-99,Brazil
2000,Maranhao,2,11,01-01-00,Brazil
2001,Maranhao,2,1,01-01-01,Brazil
2002,Maranhao,2,116,01-01-02,Brazil
2003,Maranhao,2,11,01-01-03,Brazil
2004,Maranhao,2,22,01-01-04,Brazil
2005,Maranhao,2,56,01-01-05,Brazil
2006,Maranhao,2,22,01-01-06,Brazil
2007,Maranhao,2,13,01-01-07,Brazil
2008,Maranhao,2,45,01-01-08,Brazil
2009,Maranhao,2,20,01-01-09,Brazil
2010,Maranhao,2,93,01-01-10,Brazil
2011,Maranhao,2,9,01-01-11,Brazil
2012,Maranhao,2,46,01-01-12,Brazil
2013,Maranhao,2,62,01-01-13,Brazil
2014,Maranhao,2,29,01-01-14,Brazil
2015,Maranhao,2,95,01-01-15,Brazil
2016,Maranhao,2,318,01-01-16,Brazil
2017,Maranhao,2,47,01-01-17,Brazil
1998,Maranhao,3,0,01-01-98,Brazil
1999,Maranhao,3,17,01-01-99,Brazil
2000,Maranhao,3,6,01-01-00,Brazil
2001,Maranhao,3,0,01-01-01,Brazil
2002,Maranhao,3,16,01-01-02,Brazil
