"Country Name,'Country Code','Indicator Name','Indicator Code','1960','1961','1962','1963','1964','1965','1966','1967','1968','1969','1970','1971','1972','1973','1974','1975','1976','1977','1978','1979','1980','1981','1982','1983','1984','1985','1986','1987','1988','1989','1990','1991','1992','1993','1994','1995','1996','1997','1998','1999','2000','2001','2002','2003','2004','2005','2006','2007','2008','2009','2010','2011','2012','2013','2014','2015','2016','2017','2018','2019',"
"Brazil,'BRA','Forest area (% of land area)','AG.LND.FRST.ZS','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','65.4098878458604','65.1056185945677','64.8013568210152','64.4970875697225','64.19282579617','63.8885565448772','63.5842872935845','63.280025520032','62.9757562687392','62.6714907563166','62.367225243894','62.0193009449471','61.6713766460002','61.3234523470533','60.9755280481064','60.6276037491595','60.4295707537801','60.2315340195307','60.0335010241513','59.8354642899018','59.6374312945225','59.5197017518252','59.4019722091279','59.2842426664306','59.1665131237333','59.048783581036','58.9310540383387','','','',"
